Team1Win,Champ1WR,Champ2WR,Champ3WR,Champ4WR,Champ5WR,PlayerChamp1WR,PlayerChamp2WR,PlayerChamp3WR,PlayerChamp4WR,PlayerChamp5WR,Player1RecentWR,Player2RecentWR,Player3RecentWR,Player4RecentWR,Player5RecentWR,Player1ChampFreq,Player2ChampFreq,Player3ChampFreq,Player4ChampFreq,Player5ChampFreq,Player1Ranking,Player2Ranking,Player3Ranking,Player4Ranking,Player5Ranking,Champ6WR,Champ7WR,Champ8WR,Champ9WR,Champ10WR,PlayerChamp6WR,PlayerChamp7WR,PlayerChamp8WR,PlayerChamp9WR,PlayerChamp10WR,Player6RecentWR,Player7RecentWR,Player8RecentWR,Player9RecentWR,Player10RecentWR,Player6ChampFreq,Player7ChampFreq,Player8ChampFreq,Player9ChampFreq,Player10ChampFreq,Player6Ranking,Player7Ranking,Player8Ranking,Player9Ranking,Player10Ranking
1,54.51,51.49,49.39,51.43,52.2,0.3333333333333333,0.6666666666666666,0.6,0.6,1.0,1.0,1.0,1.0,1.0,0,0.2,0.06666666666666667,0.2,0.8,0.0,2,5,7,3,9,47.71,50.78,46.41,48.75,51.24,0.6666666666666666,0.75,0.5333333333333333,0.13333333333333333,0.4666666666666667,0,1.0,1.0,1.0,1.0,0.0,0.26666666666666666,0.6666666666666666,0.3333333333333333,0.13333333333333333,0,6,8,1,4
0,54.51,52.07,52.28,48.71,45.18,0.6,0.6,0.7333333333333333,0.4,0.6,1.0,1.0,1.0,1.0,1.0,0.26666666666666666,0.2,0.13333333333333333,0.3333333333333333,0.3333333333333333,8,1,9,7,0,55.22,47.71,45.51,49.36,51.17,0.6,0.5,0.5,0.0,0.5,1.0,1.0,0,0,1.0,0.13333333333333333,0.13333333333333333,0.0,0.0,0.06666666666666667,6,2,5,4,3
0,51.31,51.62,54.51,53.96,48.39,0.0,0.6666666666666666,0.5333333333333333,0.625,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.4666666666666667,8,9,7,3,0,54.13,50.65,52.07,48.95,52.33,0.7333333333333333,0.8181818181818182,0.5,0.3333333333333333,0.4166666666666667,1.0,1.0,1.0,1.0,1.0,0.13333333333333333,0.6,0.13333333333333333,0.06666666666666667,0.2,5,2,4,1,6
1,52.9,54.51,49.24,50.78,52.79,0.5,0.6,0.3333333333333333,0.7777777777777778,0.4666666666666667,1.0,1.0,0,1.0,1.0,0.06666666666666667,0.13333333333333333,0.0,0.13333333333333333,0.06666666666666667,5,3,8,4,9,53.96,50.93,51.49,54.38,50.91,0.0,0.0,0.0,0.5555555555555556,0.2,1.0,1.0,1.0,0,1.0,0.06666666666666667,0.2,0.06666666666666667,0.0,0.06666666666666667,7,0,2,1,6
0,46.5,51.31,52.41,45.71,48.71,0.0,0.4666666666666667,0.6666666666666666,0.5,0.5333333333333333,1.0,1.0,1.0,1.0,1.0,0.2,0.8,0.4,0.06666666666666667,0.06666666666666667,7,1,2,6,9,47.29,54.38,50.93,51.85,47.71,0.6428571428571429,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.3333333333333333,0.13333333333333333,3,8,0,5,4
0,52.9,45.18,52.45,48.45,49.39,0.45454545454545453,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0,1.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.26666666666666666,0,5,7,8,1,52.41,50.93,45.18,50.63,46.41,1.0,0.6,1.0,0.2222222222222222,1.0,0,1.0,0,1.0,1.0,0.0,0.2,0.0,0.2,0.2,-1,3,4,2,6
0,46.41,48.95,51.65,52.07,48.79,0.3333333333333333,0.2,0.0,0.0,0.5333333333333333,1.0,1.0,1.0,1.0,1.0,0.06666666666666667,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.26666666666666666,0,2,5,4,7,52.9,46.09,52.92,54.51,50.19,0.6,0.6666666666666666,0.8,0.6,0.5333333333333333,1.0,0,1.0,0,1.0,0.13333333333333333,0.0,1.0,0.06666666666666667,0.06666666666666667,6,9,3,1,8
1,49.1,47.45,52.21,51.47,51.85,0.6666666666666666,0.5333333333333333,0.3333333333333333,0.6,0.5,1.0,1.0,0,0,0,0.06666666666666667,0.2,0.0,0.0,0.0,5,0,2,8,6,50.15,48.14,48.75,50.91,48.79,0.0,0.6666666666666666,1.0,0.4666666666666667,0.0,1.0,1.0,1.0,1.0,1.0,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.2,9,3,1,4,7
0,45.71,49.78,47.5,48.95,51.53,0.6666666666666666,1.0,0.4666666666666667,0.6,1.0,1.0,1.0,1.0,1.0,0,0.26666666666666666,0.06666666666666667,0.4666666666666667,0.06666666666666667,0.0,2,0,3,5,9,50.26,48.39,46.7,47.45,50.06,0.6666666666666666,0.4,0.6666666666666666,0.0,0.75,1.0,0,0,1.0,1.0,0.7333333333333333,0.0,0.0,0.06666666666666667,0.06666666666666667,1,7,8,4,6
1,50.15,49.1,55.22,48.71,53.96,0.7142857142857143,0.2857142857142857,0.6666666666666666,1.0,0.7857142857142857,1.0,0,1.0,1.0,1.0,0.2,0.0,0.26666666666666666,0.3333333333333333,0.3333333333333333,5,7,2,9,3,51.62,49.38,54.13,51.37,52.92,1.0,1.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0,1.0,1.0,1.0,0.13333333333333333,0.0,0.3333333333333333,0.06666666666666667,0.06666666666666667,1,4,6,0,8
